FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
1.0,0.0,H,1.0,0.0,H,1.5,3.5,6.0,1.44,3.6,6.5
3.0,1.0,H,1.0,0.0,H,2.2,3.25,2.8,2.1,3.1,3.1
1.0,1.0,D,0.0,1.0,A,2.0,3.25,3.25,1.9,3.2,3.5
3.0,0.0,H,3.0,0.0,H,1.444,3.75,6.5,1.44,3.6,6.5
1.0,0.0,H,1.0,0.0,H,1.667,3.4,4.5,1.66,3.3,4.5
3.0,1.0,H,2.0,1.0,H,3.5,3.25,1.909,3.75,3.2,1.83
1.0,0.0,H,0.0,0.0,D,3.25,3.25,2.0,3.0,3.2,2.1
1.0,1.0,D,1.0,0.0,H,2.25,3.25,2.75,2.3,3.1,2.7
2.0,0.0,H,0.0,0.0,D,2.7,3.2,2.3,2.8,3.1,2.25
3.0,4.0,A,1.0,4.0,A,2.375,3.2,2.625,2.5,3.1,2.5
3.0,0.0,H,1.0,0.0,H,1.533,3.5,5.5,1.53,3.25,6.0
1.0,0.0,H,0.0,0.0,D,1.727,3.2,4.5,1.72,3.25,4.2
0.0,1.0,A,0.0,0.0,D,1.667,3.4,4.5,1.61,3.3,5.0
2.0,1.0,H,1.0,1.0,D,1.615,3.4,5.0,1.57,3.5,5.0
0.0,0.0,D,0.0,0.0,D,2.625,3.0,2.5,2.62,2.9,2.5
0.0,0.0,D,0.0,0.0,D,2.3,3.2,2.7,2.25,3.1,2.8
0.0,1.0,A,0.0,1.0,A,2.1,3.25,3.0,2.1,3.2,3.0
2.0,4.0,A,1.0,1.0,D,1.5,3.5,6.0,1.57,3.3,5.5
0.0,0.0,D,0.0,0.0,D,1.364,4.0,7.5,1.33,4.0,8.0
1.0,1.0,D,0.0,1.0,A,4.0,3.25,1.8,4.33,3.2,1.72
4.0,1.0,H,1.0,0.0,H,1.8,3.25,4.0,1.83,3.2,3.75
1.0,1.0,D,0.0,0.0,D,3.5,3.25,1.909,3.4,3.25,1.9
1.0,0.0,H,1.0,0.0,H,1.444,3.6,7.0,1.44,3.5,7.0
3.0,2.0,H,2.0,0.0,H,3.75,3.25,1.833,3.5,3.2,1.9
5.0,3.0,H,3.0,1.0,H,1.615,3.4,5.0,1.66,3.3,4.5
3.0,1.0,H,0.0,0.0,D,1.727,3.25,4.333,1.72,3.4,4.0
3.0,2.0,H,1.0,1.0,D,4.333,3.25,1.727,4.5,3.3,1.66
0.0,1.0,A,0.0,0.0,D,1.909,3.25,3.5,1.9,3.2,3.5
3.0,1.0,H,0.0,0.0,D,2.4,3.2,2.6,2.37,3.1,2.62
2.0,0.0,H,2.0,0.0,H,2.1,3.25,3.0,2.0,3.2,3.2
3.0,1.0,H,1.0,0.0,H,1.333,4.0,9.0,1.28,4.5,8.0
1.0,1.0,D,0.0,0.0,D,2.6,3.2,2.4,2.6,3.1,2.4
2.0,1.0,H,1.0,0.0,H,2.0,3.25,3.25,2.0,3.2,3.2
3.0,0.0,H,0.0,0.0,D,1.4,3.75,7.5,1.4,3.6,7.5
2.0,0.0,H,1.0,0.0,H,1.8,3.25,4.0,1.8,3.3,3.75
1.0,0.0,H,0.0,0.0,D,2.7,3.2,2.3,3.0,3.0,2.2
1.0,2.0,A,1.0,0.0,H,1.8,3.25,4.0,1.9,3.25,3.4
1.0,2.0,A,0.0,0.0,D,2.3,3.2,2.7,2.25,3.1,2.8
2.0,1.0,H,0.0,1.0,A,1.909,3.25,3.5,1.9,3.25,3.4
0.0,1.0,A,0.0,0.0,D,2.25,3.25,2.75,2.25,3.2,2.75
0.0,1.0,A,0.0,0.0,D,2.375,3.2,2.625,2.3,3.2,2.62
1.0,1.0,D,1.0,0.0,H,2.6,3.2,2.4,2.5,3.1,2.5
2.0,0.0,H,1.0,0.0,H,3.5,3.25,1.909,3.75,3.2,1.83
1.0,3.0,A,1.0,2.0,A,2.5,3.2,2.5,2.37,3.1,2.62
1.0,0.0,H,1.0,0.0,H,2.1,3.25,3.0,2.0,3.3,3.1
2.0,0.0,H,1.0,0.0,H,2.25,3.25,2.75,2.25,3.2,2.75
2.0,2.0,D,0.0,0.0,D,1.615,3.4,5.0,1.61,3.3,5.0
2.0,0.0,H,0.0,0.0,D,1.727,3.5,4.0,1.83,3.2,3.75
3.0,1.0,H,2.0,0.0,H,1.444,3.6,7.0,1.4,3.6,7.5
0.0,3.0,A,0.0,1.0,A,2.3,3.2,2.7,2.25,3.2,2.75
2.0,1.0,H,1.0,1.0,D,1.8,3.25,4.0,1.66,3.3,4.5
2.0,2.0,D,0.0,0.0,D,2.1,3.25,3.0,2.1,3.3,2.87
2.0,1.0,H,2.0,1.0,H,1.833,3.25,3.75,1.9,3.2,3.5
3.0,0.0,H,2.0,0.0,H,1.286,4.5,9.0,1.25,5.0,8.0
1.0,1.0,D,1.0,1.0,D,2.625,3.2,2.375,2.5,3.1,2.5
1.0,1.0,D,0.0,0.0,D,2.3,3.2,2.7,2.3,3.1,2.75
0.0,1.0,A,0.0,1.0,A,1.8,3.25,4.0,1.72,3.4,4.0
2.0,1.0,H,1.0,0.0,H,4.333,3.25,1.727,4.2,3.25,1.72
1.0,1.0,D,1.0,1.0,D,3.0,3.1,2.2,3.0,3.0,2.2
0.0,3.0,A,0.0,2.0,A,2.4,3.2,2.6,2.25,3.2,2.75
2.0,0.0,H,1.0,0.0,H,1.4,3.75,7.5,1.36,3.75,8.0
1.0,1.0,D,0.0,1.0,A,2.2,3.25,2.8,2.1,3.2,3.0
2.0,0.0,H,1.0,0.0,H,1.5,3.5,6.0,1.5,3.4,6.0
1.0,1.0,D,0.0,0.0,D,1.909,3.25,3.5,1.83,3.4,3.5
2.0,0.0,H,1.0,0.0,H,1.533,3.5,5.5,1.53,3.4,5.5
2.0,2.0,D,2.0,0.0,H,2.375,2.875,2.875,2.2,3.0,3.0
1.0,1.0,D,1.0,0.0,H,1.833,3.25,3.75,1.83,3.2,3.75
1.0,0.0,H,1.0,0.0,H,4.0,3.5,1.727,4.5,3.3,1.66
0.0,0.0,D,0.0,0.0,D,1.833,3.25,3.75,1.8,3.25,3.8
2.0,3.0,A,1.0,1.0,D,2.25,3.25,2.75,2.2,3.2,2.8
1.0,1.0,D,1.0,1.0,D,2.5,3.2,2.5,2.5,3.1,2.5
4.0,3.0,H,3.0,1.0,H,3.0,3.25,2.1,3.0,3.2,2.1
