FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
4,0,H,3,0,H,2.5,3.2,2.5,2.47,3.3,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.1,2.6
2,1,H,1,1,D,1.66,3.3,4.5,1.7,3.5,4.35,1.75,3.3,3.8,1.727,3.4,4.0,1.72,3.25,4.33,1.72,3.4,4.0
4,1,H,1,0,H,1.66,3.3,4.5,1.66,3.5,4.75,1.65,3.3,4.4,1.615,3.5,4.5,1.61,3.4,5.0,1.61,3.3,5.0
3,1,H,2,1,H,1.66,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.667,3.4,4.333,1.66,3.4,4.5,1.66,3.3,4.5
2,2,D,2,1,H,2.2,3.25,2.8,2.15,3.25,3.05,2.3,3.0,2.7,2.1,3.2,3.0,2.25,3.2,2.8,2.0,3.2,3.2
0,1,A,0,1,A,2.5,3.2,2.5,2.45,3.25,2.6,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.37,3.1,2.62
0,1,A,0,1,A,4.5,3.4,1.66,5.3,3.6,1.6,4.4,3.3,1.65,4.5,3.5,1.62,5.0,3.4,1.62,5.0,3.3,1.61
0,1,A,0,0,D,1.57,3.4,5.5,1.6,3.5,5.5,1.55,3.5,4.8,1.57,3.5,5.0,1.53,3.6,5.5,1.61,3.3,5.0
3,1,H,1,0,H,1.4,3.75,7.5,1.44,3.75,7.0,1.4,3.9,6.0,1.44,3.75,6.0,1.4,3.75,7.5,1.4,3.75,7.0
3,1,H,2,0,H,1.57,3.4,5.5,1.6,3.5,5.5,1.6,3.4,4.6,1.57,3.5,5.0,1.62,3.4,5.0,1.61,3.3,5.0
1,3,A,1,1,D,1.5,3.5,6.0,1.55,3.6,6.0,1.6,3.4,4.6,1.5,3.6,5.5,1.53,3.4,6.0,1.5,3.6,5.5
1,0,H,0,0,D,1.66,3.4,4.5,1.65,3.5,5.0,1.75,3.2,4.0,1.67,3.4,4.33,1.62,3.4,5.0,1.66,3.3,4.5
4,2,H,0,2,A,2.0,3.25,3.25,2.1,3.25,3.25,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.0
2,2,D,1,1,D,1.16,5.5,13.0,1.2,5.5,12.0,1.2,5.0,10.0,1.17,5.0,15.0,1.17,5.5,13.0,1.16,5.5,12.0
0,0,D,0,0,D,2.7,3.2,2.3,2.75,3.25,2.35,2.5,3.0,2.5,2.6,3.2,2.38,2.6,3.2,2.4,2.62,3.2,2.3
3,2,H,1,2,A,2.5,3.2,2.5,2.55,3.2,2.55,2.4,3.2,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.4,3.1,2.6
1,1,D,0,1,A,2.4,3.2,2.6,2.55,3.2,2.55,2.7,3.0,2.3,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.1,2.6
3,0,H,1,0,H,2.0,3.25,3.25,2.0,3.3,3.4,1.8,3.1,3.8,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.2,3.2
