FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
2.0,2.0,D,0.0,2.0,1.0,7.0,4.2,1.5,7.0,4.0,1.45,7.0,4.0,1.5,7.0,3.8,1.44
3.0,0.0,H,2.0,0.0,0.0,1.57,4.0,6.0,1.6,3.6,5.6,1.57,3.8,6.0,1.57,3.75,5.5
0.0,4.0,A,0.0,1.0,1.0,9.0,4.33,1.4,7.0,4.0,1.45,8.5,4.33,1.4,8.0,3.75,1.44
2.0,0.0,H,1.0,0.0,0.0,1.91,3.4,4.2,1.9,3.3,3.9,1.91,3.4,4.0,1.91,3.3,3.8
1.0,1.0,D,1.0,0.0,1.0,2.5,3.25,2.88,2.4,3.3,2.8,2.4,3.3,2.9,2.5,3.25,2.7
3.0,1.0,H,1.0,1.0,0.0,4.2,3.4,1.91,3.9,3.3,1.9,4.33,3.4,1.85,4.33,3.25,1.83
2.0,0.0,H,0.0,0.0,0.0,1.17,7.0,19.0,1.17,6.0,15.0,1.17,6.5,19.0,1.17,6.0,17.0
4.0,0.0,H,2.0,0.0,0.0,2.38,3.3,3.0,2.3,3.3,2.9,2.38,3.3,2.9,2.4,3.25,2.8
2.0,2.0,D,2.0,0.0,0.0,1.91,3.4,4.2,1.9,3.4,3.7,1.91,3.4,4.0,1.85,3.4,4.0
2.0,2.0,D,1.0,2.0,1.0,2.0,3.3,4.0,1.9,3.3,3.9,1.95,3.3,4.0,1.91,3.4,3.75
0.0,0.0,D,0.0,0.0,1.0,4.33,3.6,1.83,3.7,3.4,1.9,4.33,3.5,1.83,4.33,3.4,1.73
2.0,1.0,H,1.0,0.0,0.0,2.75,3.3,2.63,2.7,3.2,2.5,2.62,3.3,2.62,2.6,3.2,2.6
5.0,1.0,H,2.0,1.0,0.0,1.8,3.5,4.75,1.75,3.5,4.6,1.73,3.5,5.0,1.8,3.4,4.33
3.0,1.0,H,0.0,1.0,0.0,2.1,3.4,3.6,2.0,3.3,3.6,2.05,3.3,3.6,2.0,3.3,3.5
3.0,3.0,D,1.0,2.0,0.0,1.33,4.75,11.0,1.35,4.7,8.0,1.33,4.8,9.5,1.3,4.6,10.0
2.0,0.0,H,1.0,0.0,0.0,1.57,3.75,6.5,1.6,3.6,5.6,1.53,3.8,6.5,1.57,3.6,6.0
1.0,4.0,A,0.0,3.0,0.0,9.0,4.75,1.36,7.0,4.5,1.4,8.0,4.8,1.36,8.5,4.33,1.36
1.0,0.0,H,0.0,0.0,0.0,2.0,3.25,4.0,2.1,3.15,3.5,2.05,3.25,3.75,2.0,3.25,3.6
2.0,1.0,H,0.0,1.0,0.0,2.75,3.3,2.6,2.6,3.2,2.6,2.8,3.3,2.5,2.75,3.3,2.4
1.0,2.0,A,0.0,1.0,0.0,2.4,3.3,3.0,2.5,3.2,2.7,2.4,3.3,2.9,2.38,3.2,2.9
1.0,1.0,D,1.0,1.0,0.0,2.25,3.2,3.4,2.2,3.2,3.2,2.37,3.25,3.0,2.25,3.2,3.1
2.0,2.0,D,1.0,2.0,0.0,1.36,4.5,10.0,1.3,4.9,9.0,1.33,4.5,10.5,1.33,4.5,9.0
1.0,0.0,H,1.0,0.0,0.0,2.5,3.2,2.9,2.4,3.2,2.85,2.5,3.2,2.87,2.5,3.3,2.9
1.0,1.0,D,1.0,0.0,0.0,3.4,3.3,2.2,3.2,3.2,2.2,3.3,3.2,2.25,3.3,3.4,2.2
