FTHG,FTAG,B365H,B365D,B365A
2,1,1.8,3.2,4.33
1,1,6.5,3.6,1.5
1,1,6.5,3.4,1.53
4,0,1.28,4.5,10
0,0,1.72,3.4,4.5
1,1,2.25,3.4,2.75
5,2,1.66,3.4,5
0,0,2.3,3.4,2.7
3,2,2.25,3.25,2.87
1,2,1.286,4.5,10
0,2,2.25,3.25,2.875
1,2,1.571,3.4,6
3,1,1.4,3.75,8.5
0,0,2.1,3.25,3.2
4,0,1.615,3.4,5.5
1,2,2.2,3.2,3
1,0,1.364,4.333,7.5
3,2,1.727,3.4,4.5
3,2,2.5,3.2,2.6
0,2,1.909,3.3,4
1,1,5,3.6,1.667
0,0,2.875,3.3,2.375
3,2,1.8,3.4,4
0,1,4.5,3.4,1.8
3,0,1.727,3.4,5
1,2,5.5,3.6,1.615
1,1,1.909,3.3,4
3,0,1.167,6.5,15
2,1,2.25,3.25,3.1
2,2,2.25,3.25,3.1
4,2,5.5,3.4,1.667
2,0,2.2,3.25,3.2
0,0,2.3,3.25,3
1,1,3.25,3.4,2.1
3,1,1.667,3.6,5
3,2,1.25,5.5,10
2,0,2.5,3.25,2.7
3,0,2.2,3.25,3.2
2,2,1.8,3.4,4.5
3,0,1.25,5.5,11
1,0,2.1,3.25,3.4
2,2,2.87,3.25,2.37
0,1,5,3.6,1.66
0,1,1.61,3.6,5.5
0,1,2.3,3.25,3
3,1,2.62,3.25,2.6
0,1,4.5,3.6,1.72
2,1,1.66,3.4,5.5
1,2,6.5,3.5,1.57
0,1,1.8,3.4,4.5
1,1,5.5,3.4,1.66
1,1,2.3,3.25,3
2,1,2.2,3.25,3.2
1,0,1.53,3.6,7
0,0,1.8,3.4,4.5
4,1,2.2,3.25,3.2
2,2,2.87,3.25,2.4
4,1,1.28,5,10
2,1,2.1,3.25,3.4
3,4,2.1,3.25,3.4
2,0,1.57,3.5,6.5
2,1,2.1,3.25,3.4
0,1,2.5,3.25,2.7
1,0,1.66,3.4,5.5
4,2,2.5,3.25,2.7
0,4,6,3.5,1.61
0,0,1.44,4,7.5
1,0,1.83,3.25,4.5
0,1,2.25,3.25,3.1
1,1,2.1,3.25,3.4
3,3,1.72,3.3,5
2,1,1.72,3.3,5
2,1,2.87,3.25,2.37
1,0,8.5,4.5,1.36
0,2,5.5,3.4,1.66
0,0,1.3,4.5,12
3,1,1.66,3.4,5.5
1,1,4.5,3.4,1.8
1,1,2.7,3.25,2.5
1,2,1.8,3.3,4.5
2,1,2.375,3.25,2.875
0,3,2.5,3.25,2.7
0,5,2.5,3.25,2.7
0,0,1.727,3.4,5
3,2,1.25,5.5,10
0,0,1.909,3.25,4
2,1,1.25,5.5,10
2,3,4.5,3.3,1.8
2,0,1.615,3.4,6
2,2,3.1,3.2,2.25
3,4,5.5,3.6,1.615
0,1,1.909,3.25,4
3,1,1.4,4.333,7.5
0,0,2.1,3.25,3.4
4,3,1.667,3.4,5.5
1,3,9,4,1.4
1,0,1.364,4.333,9
0,0,2,3.4,3.5
2,0,1.25,5,13
4,1,2.1,3.25,3.4
1,1,2.7,3.25,2.5
3,0,2.1,3.25,3.4
1,1,2.87,3.25,2.37
2,4,2.1,3.25,3.4
1,2,2.2,3.25,3.2
2,1,1.61,3.6,5.5
2,3,1.25,5.5,11
0,2,5.5,3.6,1.61
1,3,2.2,3.25,3.2
3,2,2.2,3.25,3.2
1,2,2.625,3.2,2.6
1,1,1.222,5.5,13
2,1,1.727,3.4,5
3,3,2,3.2,3.75
2,1,2.6,3.2,2.625
2,2,2.1,3.1,3.6
4,4,1.571,3.5,6.5
2,1,1.286,5,10
1,1,2.1,3.25,3.4
2,0,2.375,3.25,2.875
1,1,5,3.6,1.667
0,0,2.2,3.25,3.2
0,1,4.333,3.3,1.833
2,2,3.2,3.25,2.2
1,1,3.2,3.25,2.2
3,1,2.1,3.25,3.4
2,0,2.1,3.25,3.2
1,0,2.2,3.25,2.8
0,1,1.571,3.5,6.5
0,2,6.5,3.75,1.533
0,2,4.5,3.6,1.727
1,0,2.2,3.25,3.2
1,0,1.727,3.4,5
2,0,1.833,3.3,4.333
4,1,4,3.25,1.909
2,0,2.875,3.25,2.375
1,0,2.5,3.25,2.7
0,4,2.7,3.25,2.5
3,0,1.44,4,7.5
2,1,1.222,5.5,13
0,2,1.8,3.4,4.5
2,1,1.444,4,7.5
1,1,2.5,3.25,2.7
1,0,1.364,4.333,9
3,0,1.444,4,7.5
5,3,2.2,3.2,3.25
3,1,1.727,3.4,5
1,0,2.6,3.1,2.7
2,1,2.5,3.25,2.7
4,1,1.833,3.3,4.333
1,2,1.8,3.4,4.333
1,2,2.2,3.25,3.2
5,2,1.25,5,13
1,1,2.2,3.25,3.2
0,0,2,3.4,3.5
1,0,2.25,3.2,3.1
1,1,2.1,3.25,3.4
1,0,2.875,3.25,2.375
0,0,3.4,3.25,2.1
0,0,2.25,3.2,3.1
2,0,1.909,3.25,4
4,2,1.615,3.4,6
0,1,4,3.25,1.909
1,4,2.5,3.4,2.625
1,1,1.909,3.3,4
4,0,1.615,3.4,6
3,2,2,3.3,3.6
4,2,1.909,3.1,4.333
3,1,2.2,3.25,3.2
1,2,4.5,3.3,1.8
1,2,2.1,3.25,3.4
2,2,2.5,3.25,2.7
1,1,1.8,3.5,4.2
0,0,1.364,4.5,8.5
0,2,2.3,3.25,3
3,3,1.615,3.6,5.5
0,0,3.2,3.25,2.2
3,2,3.5,3.4,2
3,4,2,3.25,3.75
0,1,1.615,3.5,6
3,1,2.1,3.25,3.4
3,1,2.375,3.25,2.875
1,1,2.2,3.25,3.2
1,2,2.4,3.4,2.75
1,1,2.2,3.3,3.2
1,0,1.286,5,10
5,0,1.333,5,8
1,0,1.909,3.5,3.75
2,0,2.25,3.2,3.1
1,1,2.1,3.25,3.4
0,0,1.444,4,7.5
0,0,1.615,3.4,6
1,3,1.909,3.3,4
1,0,4.5,3.6,1.727
2,0,2.75,3.4,2.375
0,0,2.375,3.25,2.875
2,0,1.4,4.333,7.5
0,1,2.2,3.25,3.2
2,0,2.25,3.3,3
1,1,2.5,3.4,2.62
0,1,1.8,3.3,4.5
1,2,2.3,3.25,3
1,2,1.9,3.25,4
2,2,1.61,3.6,5.5
1,2,2.1,3.25,3.4
2,1,2.7,3.25,2.5
2,2,5.5,3.4,1.66
0,0,1.36,4.33,9
1,0,3.75,3.5,1.9
2,2,1.8,3.4,4.33
4,0,1.53,3.6,6.5
1,0,2.62,3.4,2.5
1,1,2.2,3.25,3.2
2,1,2.5,3.4,2.62
1,0,1.66,3.6,5
4,1,2.25,3.5,2.87
2,0,1.57,3.5,6.5
1,1,4.5,3.3,1.8
0,3,3.4,3.25,2.1
1,2,2.25,3.3,3
3,3,2.6,3.25,2.6
3,1,2.4,3.4,2.75
1,1,2.25,3.2,3.1
2,1,2.1,3.25,3.4
1,1,2.87,3.4,2.3
1,0,2.3,3.4,2.87
0,1,3.25,3.4,2.1
1,1,1.3,5,9
3,3,2.87,3.6,2.2
2,1,1.25,5,13
0,2,2.2,3.4,3
1,1,2.1,3.4,3.25
0,2,2,3.2,3.75
2,1,2,3.3,3.6
1,0,1.33,4.5,9
1,1,2,3.3,3.6
5,1,2.1,3.25,3.4
5,1,2.25,3.3,3
0,2,2.37,3.3,2.8
2,0,1.9,3.1,4.33
1,1,1.8,3.1,5
4,1,2.25,3.2,3.1
1,1,2.1,3.25,3.4
2,2,2.3,3.25,3
1,1,2.1,3.25,3.4
1,1,2.4,3.2,2.87
1,1,3.1,3.2,2.25
1,0,2.1,3.25,3.4
1,4,6,3.4,1.61
0,1,4.5,3.2,1.83
2,1,2,3.2,3.75
1,3,2.3,3.25,3
2,0,2.25,3.2,3.1
2,1,1.57,3.5,6.5
2,1,1.25,5,13
0,1,1.66,3.4,5.5
3,2,2.3,3.25,3
5,3,1.36,4.33,9
1,1,2.87,3.2,2.4
1,0,1.9,3.1,4.33
0,2,8.5,3.75,1.44
3,0,1.28,5,10
3,0,2.5,3.2,2.75
0,2,2.5,3.2,2.75
2,2,1.44,4,7.5
1,2,2.25,3.2,3.1
1,1,2.75,3.2,2.5
4,2,2.4,3.2,2.87
1,1,5,3.4,1.72
2,1,1.28,5,10
2,1,2,3.2,3.75
4,0,2.25,3.2,3.1
2,1,1.44,4,7.5
1,4,9,4.33,1.36
1,0,2,3.2,3.75
1,0,3.2,3.25,2.2
0,0,1.28,5,10
4,3,2.3,3.25,3
0,0,4.333,3.1,1.909
2,2,3.75,3.5,1.909
0,3,7,3.6,1.533
3,0,1.444,3.75,8.5
0,1,1.909,3.1,4.333
2,1,1.909,3.1,4.333
3,0,1.667,3.4,5.5
3,1,1.8,3.5,4.333
0,0,1.571,3.5,6.5
0,0,1.833,3.3,4.333
2,2,1.25,5,13
1,1,1.9,3.1,4.33
1,0,2.2,3.25,3.2
1,2,2.6,3.2,2.62
0,0,2.75,3.2,2.5
1,1,2.5,3.2,2.75
0,0,1.5,3.6,7.5
1,0,2.5,3.2,2.75
1,2,2.87,3.25,2.37
2,1,2,3.2,3.75
1,1,1.5,3.6,7.5
1,1,2,3.2,3.75
1,0,2,3.2,3.75
3,0,1.4,4,9
0,1,6.5,3.5,1.57
0,1,3.5,3.2,2.1
3,1,1.5,3.75,7
0,1,3.4,3.25,2.1
0,1,2.25,3.2,3.1
1,0,2.1,3.25,3.4
4,0,1.28,5,10
2,2,2.37,3.25,2.87
0,1,2.25,3.2,3.1
2,2,2.37,3.25,2.87
0,0,2.37,3.25,2.87
2,1,2.75,3.2,2.5
2,2,2.62,3.2,2.6
1,0,1.8,3.1,5
1,1,1.4,4,9
2,0,2.62,3.2,2.6
3,1,1.3,5,9.5
0,0,5.5,3.2,1.72
0,4,2.5,3.2,2.75
1,0,1.61,3.6,5.5
1,0,1.72,3.4,5
2,4,3.4,3.25,2.1
1,0,5.5,3.2,1.72
0,0,2.1,3.25,3.4
1,1,2.75,3.2,2.5
1,0,2.6,3.2,2.62
2,0,1.8,3.3,4.5
4,0,1.28,5,10
3,0,2.3,3.25,3
2,0,1.5,3.6,7.5
2,3,2.75,3.2,2.5
1,2,1.9,3.25,4
2,0,2.62,3,2.75
1,1,1.66,3.4,5.5
4,3,1.66,3.4,5.5
0,0,2.5,3.2,2.75
2,2,1.16,6.5,15
0,1,1.83,3.25,4.5
2,2,5,3.1,1.8
1,2,2.6,3.2,2.62
1,1,2.1,3.2,3.5
2,0,2.5,3.2,2.75
2,0,5.5,3.4,1.66
1,4,7.5,4,1.44
2,1,2.5,3.2,2.75
1,1,1.72,3.4,5
3,0,1.83,3.3,4.33
1,0,1.4,4,9
1,1,7.5,4,1.44
0,1,1.5,3.6,7.5
1,1,2.3,3.25,3
2,2,2,3.2,3.75
2,3,1.9,3.1,4.33
0,0,1.4,4,9
1,1,2,3.2,3.75
1,4,1.57,3.5,6.5
0,1,2.37,3.1,3
1,2,2.25,3.2,3.1
4,0,1.8,3.1,5
1,4,6,3.2,1.66
3,2,1.5,3.5,8
1,1,1.8,3.4,4.5
2,1,2.4,3.2,2.87
4,5,5.5,3.2,1.72
1,3,3,3.25,2.3
1,2,3.1,3.1,2.3
1,1,1.16,6.5,15
2,2,1.36,4.33,9
0,2,3.1,3.2,2.25
1,0,1.83,3.25,4.5
2,0,1.33,4.5,9.5
2,0,2.5,3.2,2.75
2,1,2.37,3.1,3
1,3,2.3,3.25,3
3,3,2.3,3.1,3.1
1,0,2,3.2,3.75
1,1,1.83,3.25,4.5
0,1,1.61,3.4,6
0,4,6.5,3.5,1.57
0,2,1.9,3.3,4
2,0,2.3,3.25,3
2,2,2,3.2,3.75
0,3,7,3.6,1.53
2,1,3.4,3.25,2.1
1,1,1.83,3.25,4.5
2,0,2.5,3.1,2.8
3,0,1.33,4.5,9.5
1,1,2.5,3.2,2.75
0,1,2.5,3.2,2.75
4,0,1.44,4,7.5
3,2,2,3.2,3.75
3,0,1.22,5.5,13
0,1,2.37,3.25,2.87
